id,name,shop_url,agb_url;
967,Telekom Deutschland GmbH,www.telekom.de,https://www.telekom.de/is-bin/INTERSHOP.enfinity/WFS/EKI-PK-Site/-/-/-/ViewAGB-Start
968,wilkon Systems GmbH & Co. KG,www.wilkon-sicherheitstechnik.de,https://www.wilkon-sicherheitstechnik.de/epages/wilko1.sf/de_DE/?ObjectPath=/Shops/wilko1/Categories/TermsAndConditions
969,Elting GmbH,www.elting.de,https://www.elting.de/AGB
970,encliso GmbH,www.encliso.de,https://www.encliso.de/encliso/agb/
971,pool-fantasien | Melanie Klein,www.pool-fantasien.de,https://www.pool-fantasien.de/epages/63566470.sf/de_DE/?ObjectPath=/Shops/63566470/Categories/TermsAndConditions
972,sportshooter GmbH,www.sportshooter.de,https://www.sportshooter.de/site_agb.php
973,Fashionette GmbH,www.fashionette.de,https://www.fashionette.de/terms-and-conditions
974,PANITZ Küchen und Hausgeräte GmbH,www.hausgeraete-panitz.de,https://www.hausgeraete-panitz.de/AGB/
975,time4wellness GbR,www.time4wellness.de,https://www.time4wellness.de/
976,Bergfreunde GmbH,www.bergfreunde.de,https://www.bergfreunde.de/agb/
977,mundizio GmbH,www.mundizio.de,https://www.mundizio.de/agb/widerruf
978,Dirk Rossmann GmbH,einkaufsportal.rossmann.de,https://einkaufsportal.rossmann.de/site/Rossmann/927/AGB.aspx
979,HiFinesse Audio-Video Versand GmbH,hifinesse.com,https://hifinesse.com/agb
980,Delticom AG,www.mobilemech.de,https://www.mobilemech.de/AGBs.html
981,Ingo Kietzmann,www.smarthome-life.de,https://www.smarthome-life.de/info/allgemeine-geschaeftsbedingungen.html
982,Wiggle Ltd.,www.wigglesport.de,http://www.wigglesport.de/h/option/terms_conditions
983,CS Diabetesfachhandel OHG,www.cs-diabetesfachhandel.de,https://www.cs-diabetesfachhandel.de/weitere/agb
984,ROEBEN GAS GmbH & Co. KG,www.gasshoponline.com,https://www.gasshoponline.com/epages/61452906.sf/de_DE/?ObjectPath=/Shops/61452906/Categories/TermsAndConditions
985,Delinero GmbH,www.foodexplorer.com,https://www.foodexplorer.com/de/?ref=delinero
986,Outnorth AB,www.outnorth.de,https://www.outnorth.de/agb.php
987,Cosmetica GbR - Joanna Grigorov & Grigoriy Grigorov,www.parfumis.de,http://www.parfumis.de/agb
988,OCS.tec GmbH & Co. KG,top-messtechnik.com,https://top-messtechnik.com/
989,Mister Linse GmbH,www.misterlinse.de,https://www.misterlinse.de/agb
990,Mister Spex GmbH,www.misterspex.de,https://www.misterspex.de/rechtliche-hinweise/agb
991,Bremer Industrietechnik GmbH,www.bit-electronix.eu,https://www.bit-electronix.eu/ueber-uns/agb
992,Salon Hagel GmbH,www.hagel-shop.de,https://www.hagel-shop.de/agb/
993,MGS Münchner Getränke Service GmbH,www.bottleworld.de,https://www.bottleworld.de/agb.html
994,Lauschke Caravan und Freizeit OHG,www.campingplus.de,https://www.campingplus.de/AGB.html
995,koffer-direkt.de GmbH & Co. KG,www.koffer-direkt.de,https://www.koffer-direkt.de/agb
996,Babyton GmbH,www.babyton.de,https://www.babyton.de/de/agb
997,Vitego GmbH,www.vitego-shop.de,https://www.vitego-shop.de/AGB
998,powermeter24 GmbH,www.powermeter24.com,https://www.powermeter24.com/de/agb-/-kundeninformation
999,Inh.: Dipl.-Geogr. Martin Baum,www.navifuture.de,https://www.navifuture.de/content/Widerrufsbelehrung.html
1000,lemoboo AG,www.lemoboo.de,https://www.lemoboo.de/allgemeine-geschaeftsbedingungen
1001,Bike Arena Oltmanns OHG,www.radonline.de,https://www.radonline.de/agb/
1002,HOF Electronic Service GmbH,www.hof24.de,https://www.hof24.de/index.php/allgemeine-geschaeftsbedingungen
1003,Gudenkauf GmbH,www.rucksack.de,http://www.rucksack.de/rubriken/agbs.php
1004,Martin Kraft e.K.,www.dabrema.de,https://www.dabrema.de/AGB
1005,Acceler8 GmbH,www.supertatzen.com,http://www.supertatzen.com/de/c13/index.html
1006,Albert Rauch Gesellschaft mit beschränkter Haftung,www.genusswelt.de,https://www.genusswelt.de/?id=10
1007,Müller Professional Store e.K.,garden.professional-store.com,https://garden.professional-store.com/allgemeine-geschaeftsbedingungen
1008,Printmania GmbH,top12.de,https://top12.de/agb/
1009,IBB Zimmereibedarf GmbH,www.ibb-shop24.de,https://www.ibb-shop24.de/shop_content.php/coID/3/content/Unsere-AGB-s
1010,CHAL-TEC GmbH,www.klarstein.de,https://www.klarstein.de/AGB/
1011,Kochform GmbH,www.kochnett.de,https://www.kochnett.de/AGB.html
1012,Ronny Sorgenfrei,www.eisenron.de,https://www.eisenron.de/frontend/agb/
1013,Teamsport Philipp,teamsport-philipp.de,https://teamsport-philipp.de/AGB/
1014,Andrey Shapiro e.K.,www.led-centrum.de,https://www.led-centrum.de/info/allgemeine-geschaeftsbedingungen
1015,Laratech – Handel mit IT Produkten -,www.laratech-shop.de,https://www.laratech-shop.de/oxseo.php/
1016,Apotheke Zur Rose,www.zurrose.de,https://www.zurrose.de/agb
1017,Fimato GmbH,www.hanako-koi.de,https://www.hanako-koi.de/AGB-Datenschutz-Widerrufsrecht.html
1018,Uhren-Hieber GmbH,www.uhrendirect.de,https://www.uhrendirect.de/cgi-bin/shop/front/shop_main.cgi?func=htmlserv&wkid=12156198474395716&tmpl=shop_text_win.html&in=std_agb
