id,name,shop_url,agb_url;;;;;;
175,Skyport GmbH,www.finebuy.de,https://www.finebuy.de/content/agb/;;;;;;
176,Grünspar GmbH,www.gruenspar.de,https://www.gruenspar.de/agb;;;;;;
177,F &amp; M Computer Systemhaus GmbH,www.f-m-shop.de,http://www.f-m-shop.de/agb/;;;;;
178,Pharmeo - der Versandhandel der City-Apotheke e.K.,www.pharmeo.de,https://www.pharmeo.de/shop_content.php/coID/3/content/AGB;;;;;;
179,0815 Online Handel GmbH,www.0815.eu,https://www.0815.eu/agb;;;;;;
180,Martin Kraft e.K.,www.more-than-coffee.de,http://www.more-than-coffee.de/conditions.php;;;;;;
181,mysportgroup GmbH,www.vaola.de,https://www.vaola.de/impressum/;;;;;;
182,1-2-3.TV GmbH,www.1-2-3.tv,https://www.1-2-3.tv/agb/;;;;;;
183,babymarkt.de GmbH,www.babymarkt.de,http://www.babymarkt.de/allgemeine-geschaeftsbedingungen/;;;;;;
184,ascasa GmbH,www.ascasa.de,https://www.ascasa.de/Allgemeine-Geschaeftsbedingungen:_:3.html;;;;;;
185,Elektrotechnik Schmitt - Michael Schmitt,www.etoh24.de,https://www.etoh24.de/index.php?id=2;;;;;;
186,workstation Hannover GmbH,www.hardwarehouse.de,http://www.hardwarehouse.de/shop_content.php?coID=3&XTCsid=adkl1702preha99e2c0ag3disv8vd6fklf67i3khve5g6bjgqaa0;;;;;;
187,BB Sport GmbH &amp; Co. KG,www.dein-klettershop.de,https://www.dein-klettershop.de/dein-klettershop/agb/;;;;;
188,Fairsandhaus - Inhaber: Marcel Schoroth,www.fairsandhaus.com,https://www.fairsandhaus.com/content/agb/;;;;;;
189,Artavola GmbH,www.tischwelt.de,https://www.tischwelt.de/Service/Rechtliches/AGB/;;;;;;
190,Re-In Retail International GmbH,www.smdv.de,https://www.smdv.de/AGB.html;;;;;;
191,mediafrost.de,www.mediafrost.de,https://www.mediafrost.de/AGB.html;;;;;;
192,motoin GmbH,www.motoin.de,http://www.motoin.de/AGB:_:3.html;;;;;;
193,DIMAXA GmbH,www.dimaxa.de,https://www.dimaxa.de/agb;;;;;;
194,Markenschlaf GmbH,www.markenschlaf.de,https://www.markenschlaf.de/?ToShow=ContentSearch&Params%5BSearchParam%5D=ueber+uns+agb;;;;;;
195,Bepro GmbH,www.profitoner.de,http://www.profitoner.de/shop_content.php?coID=3;;;;;;
196,myToys.de GmbH,www.mytoys.de,http://www.mytoys.de/c/agb.html;;;;;;
197,Beauty Shop DE GmbH,www.parfum-zentrum.de,http://www.parfum-zentrum.de/allgemeine-geschaeftsbedingungen;;;;;;
198,KB KfZ-Teile Internet Vertriebs GmbH,www.autoteilestore.com,http://www.autoteilestore.com/ats/common/agb.html;;;;;;
